Site,Site.Name,POINT,SITE.ID,Species,COLLECT.DATE,Plug_ID,Tank,Treatment,Temperature,CO2,Timepoint,ANALYSIS,TIME ,RUN,Sample.Date,Dead.Alive,NOTES,Sample Location,Shipment Date,Extraction Date,Tech,Notes,Soft DNA ng_ul,Soft RNA ng_ul,Soft RNA RIN,READY FOR RNASEQ,Hard DNA ng_ul,Hard RNA ng_ul,Hard RNA RIN,Hard DNA uL,Soft DNA uL,Hard RNA uL,Soft RNA uL,Soft DNA ug,Hard DNA ug,Soft RNA ug,Hard RNA ug,Sequencing Batch,Link to notebook post,NCBI Link
SITE 4,Reef.11.13,1,P6,Pacuta,20180907,1482,6,ATAC,Ambient,Ambient,TP11,Physiology,11:23,NA,20181215,Alive,In Tank 6 20181118; off plug,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,6,M60,Mcapitata,20180908,1489,6,ATAC,Ambient,Ambient,TP11,Physiology,11:31,NA,20181215,Alive,phys no weigh; In Tank 6 20181118,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,7,P67,Pacuta,20180905,2013,8,ATAC,Ambient,Ambient,TP11,Physiology,10:03,NA,20181215,Alive,In Tank 8 20181118; off plug,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,6,P58,Pacuta,20180910,2396,8,ATAC,Ambient,Ambient,TP11,Physiology,10:06,NA,20181215,Alive,phys no weigh; In Tank 8 20181118,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,3,M28,Mcapitata,20180910,2398,8,ATAC,Ambient,Ambient,TP11,Physiology,10:07,NA,20181215,Alive,In Tank 8 20181118; off plug,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,5,P42,Pacuta,20180908,1087,1,ATAC,Ambient,Ambient,TP11,Physiology,NA,NA,20181215,Alive,originally written down as sampled on 20190923 but fragment sampled on 20190923 was 1187,In Freezer at URI,20190118,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,2,M14,Mcapitata,20180905,1120,1,ATAC,Ambient,Ambient,TP12,Molecular,12:00,NA,20190112,Alive,2 month recovery,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,20191014,ES,"517, 518",25.1,10.7,9.1,YES,13.1,**,NA,90,90,95,95,2.259,1.179,1.0165,#VALUE!,Batch3,,
SITE 5,Reef.35.36,3,M27,Mcapitata,20180906,1452,6,ATAC,Ambient,Ambient,TP12,Molecular,12:00,NA,20190112,Alive,2 month recovery ,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,20191009,ES,"505, 506",32.6,35,9.2,YES,22.8,**,NA,90,90,95,95,2.934,2.052,3.325,#VALUE!,Batch3,,
SITE 3,Reef.18,7,M64,Mcapitata,20180910,2403,8,ATAC,Ambient,Ambient,TP12,Molecular,12:00,NA,20190112,Alive,"re-extracted (531, 532, 627, 628, 671, 672); 2 month recovery",In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,20191208,ES,"671, 672",34.5,31.8,8.9,YES,20.8,13.2,NA,90,90,95,95,3.105,1.872,3.021,1.254,Batch3,,
SITE 2,HIMB,4,M37,Mcapitata,20180904,1106,1,ATAC,Ambient,Ambient,TP12,Molecular BB,12:00,NA,20190112,Alive,2 month recovery,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,4,P31,Pacuta,20180908,1458,6,ATAC,Ambient,Ambient,TP12,Molecular BB,12:00,NA,20190112,Alive,was in Tank 6 on 201810104 BW; In Tank 6 20181118; 2 month recovery,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,4,P37,Pacuta,20180907,1462,6,ATAC,Ambient,Ambient,TP12,Molecular BB,12:00,NA,20190112,Alive,2 month recovery ,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,1,P8,Pacuta,20180907,1477,6,ATAC,Ambient,Ambient,TP12,Molecular BB,12:00,NA,20190112,Alive,2 month recovery ,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,1,P4,Pacuta,20180907,1575,8,ATAC,Ambient,Ambient,TP12,Molecular BB,12:00,NA,20190112,Alive,2 month recovery ,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,1,M3,Mcapitata,20180908,1063,1,ATAC,Ambient,Ambient,TP12,Physiology,12:00,NA,20190112,Alive,2 month recovery,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,4,P39,Pacuta,20180908,1075,1,ATAC,Ambient,Ambient,TP12,Physiology,12:00,NA,20190112,Alive,2 month recovery,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,7,M64,Mcapitata,20180905,1102,1,ATAC,Ambient,Ambient,TP12,Physiology,12:00,NA,20190112,Alive,2 month recovery,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,6,P60,Pacuta,20180905,1111,1,ATAC,Ambient,Ambient,TP12,Physiology,12:00,NA,20190112,Alive,2 month recovery,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,3,P24,Pacuta,20180908,1434,6,ATAC,Ambient,Ambient,TP12,Physiology,12:00,NA,20190112,Alive,2 month recovery,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,1,P3,Pacuta,20180907,1472,6,ATAC,Ambient,Ambient,TP12,Physiology,12:00,NA,20190112,Alive,2 month recovery ,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,8,M73,Mcapitata,20180908,1540,6,ATAC,Ambient,Ambient,TP12,Physiology,12:00,NA,20190112,Alive,2 month recovery,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,5,P41,Pacuta,20180907,1578,8,ATAC,Ambient,Ambient,TP12,Physiology,12:00,NA,20190112,Alive,2 month recovery ,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,2,M17,Mcapitata,20180905,1616,6,ATAC,Ambient,Ambient,TP12,Physiology,12:00,NA,20190112,Alive,2 month recovery,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,4,P37,Pacuta,20180905,2058,8,ATAC,Ambient,Ambient,TP12,Physiology,12:00,NA,20190112,Alive,2 month recovery ,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,3,M27,Mcapitata,20180904,1649,8,ATAC,Ambient,Ambient,TP12,Physiology,12:00,NA,20190112,Alive,2 month recovery,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,2,M11,Mcapitata,20180910,2301,6,ATAC,Ambient,Ambient,TP12,Physiology,12:00,NA,20190112,Alive,2 month recovery,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,7,P63,Pacuta,20180907,1207,3,ATHC,Ambient,High,TP1,Molecular,7:07,NA,20180922,Alive,,In Freezer at URI,20181002,20190826,ES,"393, 394",84.8,113.5,8.1,YES,35.9,44.6,NA,90,90,95,95,7.632,3.231,10.7825,4.237,Batch3,,
SITE 4,Reef.11.13,7,M63,Mcapitata,20180907,1218,3,ATHC,Ambient,High,TP1,Molecular,7:07,NA,20180922,Alive,,In Freezer at URI,20181002,20190826,ES,"397, 398",19.55,30.6,9.1,YES,13.4,15.3,NA,90,90,95,95,1.7595,1.206,2.907,1.4535,Batch3,,
SITE 4,Reef.11.13,1,M4,Mcapitata,20180907,1826,12,ATHC,Ambient,High,TP1,Molecular,7:28,NA,20180922,Alive,,In Freezer at URI,20181002,20190806,ES,"291, 292",18.35,25.8,8.9,YES,19,16.9,9,90,90,95,95,1.6515,1.71,2.451,1.6055,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-06-Soft-and-Hard-Homogenization-Extractions-%23283-302.md,
SITE 5,Reef.35.36,1,M10,Mcapitata,20180906,2068,11,ATHC,Ambient,High,TP1,Molecular,7:19,NA,20180922,Alive,,In Freezer at URI,20181002,20190808,ES,"331, 332",17.95,15.4,8.1,YES,11.15,15.6,**,90,90,95,95,1.6155,1.0035,1.463,1.482,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-08-Soft-and-Hard-Homogenization-Extractions-%23323-332.md,
SITE 1,Lilipuna.Fringe,6,P59,Pacuta,20180908,2743,12,ATHC,Ambient,High,TP1,Molecular,7:28,NA,20180922,Alive,,In Freezer at URI,20181002,20190724,ES,"113, 114",106,103,7,YES,101,69,6.5,90,90,90,90,9.54,9.09,9.27,6.21,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-24-Soft-and-Hard-Homogenization-Extractions-%2391-118.md,
SITE 4,Reef.11.13,3,P22,Pacuta,20180907,2977,11,ATHC,Ambient,High,TP1,Molecular,7:18,NA,20180922,Alive,,In Freezer at URI,20181002,20190815,MS,"357, 358",21.2,49.1,8.6,YES,14.75,38.2,NA,90,90,95,95,1.908,1.3275,4.6645,3.629,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-15-Soft-and-Hard-Homogenization-Extractions-%23351-362.md,
SITE 6,Reef.42.43,6,M51,Mcapitata,20180905,1157,3,ATHC,Ambient,High,TP2,Molecular Melted,9:19,NA,20180922,Alive,Sample melted,NA,20181012,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,4,P33,Pacuta,20180910,1442,3,ATHC,Ambient,High,TP2,Molecular Melted,9:18,NA,20180922,Alive,Sample melted,NA,20181012,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,1,P6,Pacuta,20180906,1999,11,ATHC,Ambient,High,TP2,Molecular Melted,9:11,NA,20180922,Alive,Sample melted,NA,20181012,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,7,M69,Mcapitata,20180908,2076,11,ATHC,Ambient,High,TP2,Molecular Melted,9:12,NA,20180922,Alive,Sample melted,NA,20181012,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,7,P68,Pacuta,20180905,2747,12,ATHC,Ambient,High,TP2,Molecular Melted,9:26,NA,20180922,Alive,Sample melted,NA,20181012,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,6,M60,Mcapitata,20180905,2754,12,ATHC,Ambient,High,TP2,Molecular Melted,9:27,NA,20180922,Alive,Sample melted,NA,20181012,,,,,,,,,,,,,,,,,,,,,
SITE 5,Reef.35.36,5,P42,Pacuta,20180906,1219,3,ATHC,Ambient,High,TP3,Molecular,13:23,NA,20180922,Alive,,In Freezer at URI,20181210,20190724,ES,"115, 116",77.4,75.7,7.4,YES,40.2,53,7.4,90,90,95,95,6.966,3.618,7.1915,5.035,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-24-Soft-and-Hard-Homogenization-Extractions-%2391-118.md,
SITE 3,Reef.18,6,M54,Mcapitata,20180910,1544,3,ATHC,Ambient,High,TP3,Molecular,13:24,NA,20180922,Alive,,In Freezer at URI,20181210,20190806,ES,"295, 296",14.85,22.3,8.8,YES,15.55,16.9,8.9,90,90,95,95,1.3365,1.3995,2.1185,1.6055,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-06-Soft-and-Hard-Homogenization-Extractions-%23283-302.md,
SITE 3,Reef.18,1,P1,Pacuta,20180910,2534,11,ATHC,Ambient,High,TP3,Molecular,13:33,NA,20180922,Alive,"re-extracted (559, 560, 669, 670)",In Freezer at URI,20181210,20191208,ES,"669, 670",104.5,108,7.4,YES,48.7,50.6,NA,90,90,95,95,9.405,4.383,10.26,4.807,Batch3,,
SITE 6,Reef.42.43,6,M55,Mcapitata,20180905,2731,11,ATHC,Ambient,High,TP3,Molecular,13:34,NA,20180922,Alive,"re-extracted (47, 48, 519, 520)",In Freezer at URI,20181210,20191105,ES,"519, 520",21.3,23.4,8.4,YES,24.9,15.8,**,90,90,90,90,1.917,2.241,2.106,1.422,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-20-Soft-and-Hard-Homogenization-Extractions-%2333-52.md,
SITE 6,Reef.42.43,6,P56,Pacuta,20180905,2750,12,ATHC,Ambient,High,TP3,Molecular,13:11,NA,20180922,Alive,"extracted 20190903, 20190905",In Freezer at URI,20181210,20190905,ES,"455, 456",60.6,85.4,8.6,YES,45.8,45.1,NA,90,90,95,95,5.454,4.122,8.113,4.2845,Batch3,,
SITE 2,HIMB,1,M9,Mcapitata,20180904,2866,12,ATHC,Ambient,High,TP3,Molecular,13:13,NA,20180922,Alive,,In Freezer at URI,20181210,20190801,ES,"231, 232",14.75,46.4,8.8,YES,10.8,20.4,7.5,90,90,95,95,1.3275,0.972,4.408,1.938,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,
SITE 2,HIMB,1,M8,Mcapitata,20180904,1146,3,ATHC,Ambient,High,TP3,Physiology,16:53,Run 2,20180922,Alive,,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,6,M58,Mcapitata,20180907,1175,3,ATHC,Ambient,High,TP3,Physiology,16:53,Run 2,20180922,Alive,,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,5,P45,Pacuta,20180907,1211,3,ATHC,Ambient,High,TP3,Physiology,16:53,Run 2,20180922,Alive,,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,1,P9,Pacuta,20180905,1253,3,ATHC,Ambient,High,TP3,Physiology,16:53,Run 2,20180922,Alive,,In Transit to URI ,20190206,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,5,P45,Pacuta,20180908,1220,3,ATHC,Ambient,High,TP4,Molecular,19:33,NA,20180922,Alive,,In Freezer at URI,20181210,20190730,ES,"175, 176 - values for 2nd elution",24.3,79.2,8.8,YES,20.3,57,7.8,90,90,95,95,2.187,1.827,7.524,5.415,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-30-Soft-and-Hard-Homogenization-Extractions-%23155-178.md,
SITE 5,Reef.35.36,7,M67,Mcapitata,20180906,1221,3,ATHC,Ambient,High,TP4,Molecular,19:14,NA,20180922,Alive,,In Freezer at URI,20181210,20191121,ES,"575, 576",18.8,18.95,8.4,YES,11.65,8.34,NA,90,90,95,95,1.692,1.0485,1.80025,0.7923,Batch3,,
SITE 3,Reef.18,6,M60,Mcapitata,20180910,2561,12,ATHC,Ambient,High,TP4,Molecular,19:21,NA,20180922,Alive,,In Freezer at URI,20181210,20190724,ES,"109, 110",14.8,16.7,8,YES,16.9,12.4,8.2,90,90,95,95,1.332,1.521,1.5865,1.178,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-24-Soft-and-Hard-Homogenization-Extractions-%2391-118.md,
SITE 6,Reef.42.43,6,P55,Pacuta,20180905,2733,11,ATHC,Ambient,High,TP4,Molecular,19:31,NA,20180922,Alive,,In Freezer at URI,20181210,20191113,MS,"565, 566",48.6,23.6,7.8,YES,32.8,14.15,NA,90,90,95,95,4.374,2.952,2.242,1.34425,Batch3,,
SITE 6,Reef.42.43,6,M58,Mcapitata,20180905,2734,11,ATHC,Ambient,High,TP4,Molecular,19:32,NA,20180922,Alive,"re-extracted (361, 362, 685, 686, 687, 688)",In Freezer at URI,20181210,20191216,MS,"687, 688",73.6,54.4,8.3,YES,34.7,22.4,NA,90,90,95,95,6.624,3.123,5.168,2.128,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-15-Soft-and-Hard-Homogenization-Extractions-%23351-362.md,
SITE 4,Reef.11.13,6,P56,Pacuta,20180907,2993,12,ATHC,Ambient,High,TP4,Molecular,19:20,NA,20180922,Alive,,In Freezer at URI,20181210,20190725,ES,"123, 124",81.5,73.7,6.6,YES,48.4,48.9,6.3,90,90,95,95,7.335,4.356,7.0015,4.6455,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-25-Soft-and-Hard-Homogenization-Extractions-119-138.md,
SITE 6,Reef.42.43,5,M43,Mcapitata,20180905,1229,3,ATHC,Ambient,High,TP5,Molecular,13:10,NA,20180923,Alive,"re-extracted (463, 464, 617, 618, 661, 662)",In Freezer at URI,20181210,20191206,MS,"661, 662",14.75,12.6,8.4,YES,11.85,11.05,NA,90,90,95,95,1.3275,1.0665,1.197,1.04975,Batch3,,
SITE 4,Reef.11.13,3,P21,Pacuta,20180907,1296,3,ATHC,Ambient,High,TP5,Molecular,13:09,NA,20180923,Alive,,In Freezer at URI,20181210,20190729,ES,"147, 148 -  2nd DNA elution values",29.6,81.5,8,YES,21.5,50.2,7.7,90,90,95,95,2.664,1.935,7.7425,4.769,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-29-Soft-and-Hard-Homogenization-Extractions-%23147-154.md,
SITE 4,Reef.11.13,5,M46,Mcapitata,20180907,1706,11,ATHC,Ambient,High,TP5,Molecular,13:14,NA,20180923,Alive,combined E1/E2 hard DNA 410,In Freezer at URI,20181210,20190826,ES,"409, 410",12,14.4,8.8,YES,10.45,12.2,NA,90,90,95,95,1.08,0.9405,1.368,1.159,Batch3,,
SITE 5,Reef.35.36,2,P15,Pacuta,20180906,2212,11,ATHC,Ambient,High,TP5,Molecular,13:15,NA,20180923,Alive,"extracted 20190903, 20190905",In Freezer at URI,20181210,20190903,ES,"449, 450",34.2,53.9,8.1,YES,19.3,43.6,NA,90,90,95,95,3.078,1.737,5.1205,4.142,Batch3,,
SITE 2,HIMB,2,P12,Pacuta,20180905,2877,12,ATHC,Ambient,High,TP5,Molecular,13:20,NA,20180923,Alive,,In Freezer at URI,20181210,20190731,ES,"213, 214 - 2nd DNA elution values",129.5,129,7.7,YES,59.1,48.2,7.7,90,90,95,95,11.655,5.319,12.255,4.579,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,
SITE 5,Reef.35.36,6,M56,Mcapitata,20180906,2986,12,ATHC,Ambient,High,TP5,Molecular,13:19,NA,20180923,Alive,"re-extracted (411, 412, 687, 688)",In Freezer at URI,20181210,20191210,ES,"687, 688",11.95,15.55,8.7,YES,10.35,8.27,NA,90,90,95,95,1.0755,0.9315,1.47725,0.78565,Batch3,,
SITE 5,Reef.35.36,6,P59,Pacuta,20180906,1180,3,ATHC,Ambient,High,TP5,Physiology,16:33,Run 5,20180923,Alive,,In Freezer at URI,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,6,P58,Pacuta,20180907,1252,3,ATHC,Ambient,High,TP5,Physiology,16:33,Run 5,20180923,Alive,,In Freezer at URI,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,1,M9,Mcapitata,20180908,1304,3,ATHC,Ambient,High,TP5,Physiology,16:33,Run 5,20180923,Alive,,In Freezer at URI,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,1,M8,Mcapitata,20180910,1560,3,ATHC,Ambient,High,TP5,Physiology,16:33,Run 5,20180923,Alive,,In Freezer at URI,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,6,P59,Pacuta,20180907,1825,11,ATHC,Ambient,High,TP5,Physiology,10:15,Run 1,20180923,Alive,,In Freezer at URI,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,8,M73,Mcapitata,20180910,2529,11,ATHC,Ambient,High,TP5,Physiology,10:15,Run 1,20180923,Alive,,In Freezer at URI,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,8,P75,Pacuta,20180910,2531,11,ATHC,Ambient,High,TP5,Physiology,10:15,Run 1,20180923,Alive,,In Freezer at URI,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,7,M65,Mcapitata,20180910,2535,11,ATHC,Ambient,High,TP5,Physiology,10:15,Run 1,20180923,Alive,,In Freezer at URI,20181219,,,,,,,,,,,,,,,,,,,,,
SITE 6,Reef.42.43,3,P21,Pacuta,20180905,2752,12,ATHC,Ambient,High,TP5,Physiology,13:31,Run 3,20180923,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,2,P20,Pacuta,20180905,2880,12,ATHC,Ambient,High,TP5,Physiology,13:31,Run 3,20180923,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,6,M59,Mcapitata,20180908,2976,12,ATHC,Ambient,High,TP5,Physiology,13:31,Run 3,20180923,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,2,M20,Mcapitata,20180908,3003,12,ATHC,Ambient,High,TP5,Physiology,13:31,Run 3,20180923,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,5,M47,Mcapitata,20180907,1212,3,ATHC,Ambient,High,TP6,Molecular,13:06,NA,20180929,Alive,"re-extracted (281, 282, 541, 542, 647, 648)",In Freezer at URI,20181219,20191205,MS,"647, 648",34,22.4,8.4,YES,24.2,14.15,NA,90,90,95,95,3.06,2.178,2.128,1.34425,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-05-Soft-and-Hard-Homogenization-Extractions-%23267-282.md,
SITE 6,Reef.42.43,4,P38,Pacuta,20180905,1254,3,ATHC,Ambient,High,TP6,Molecular,13:05,NA,20180929,Alive,,In Freezer at URI,20181219,20190731,ES,"207, 208 ",43.3,49.7,8,YES,32.7,32.7,8.5,90,90,95,95,3.897,2.943,4.7215,3.1065,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,
SITE 5,Reef.35.36,2,M11,Mcapitata,20180906,2016,11,ATHC,Ambient,High,TP6,Molecular,13:16,NA,20180929,Alive,"re-extracted (223, 224, 603, 604)",In Freezer at URI,20181219,20191125,MS,"603, 604",22.2,26.4,8.6,YES,15.95,9.39,NA,90,90,95,95,1.998,1.4355,2.508,0.89205,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,
SITE 3,Reef.18,5,M43,Mcapitata,20180910,2555,12,ATHC,Ambient,High,TP6,Molecular,13:18,NA,20180929,Alive,"re-extracted (217, 218, 549, 550)",In Freezer at URI,20181219,20191111,ES,"549, 550",24.8,15,9.1,YES,19.85,13.9,NA,90,90,95,95,2.232,1.7865,1.425,1.3205,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,
SITE 2,HIMB,1,P5,Pacuta,20180905,2870,11,ATHC,Ambient,High,TP6,Molecular,13:15,NA,20180929,Alive,,In Freezer at URI,20181219,20190801,ES,"239, 240",39.1,129,8.9,YES,36,120,8.6,90,90,95,95,3.519,3.24,12.255,11.4,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,
SITE 1,Lilipuna.Fringe,3,P26,Pacuta,20180908,2999,12,ATHC,Ambient,High,TP6,Molecular,13:17,NA,20180929,Alive,,In Freezer at URI,20181219,20190801,ES,"247, 248",54.2,105.5,7,YES,44,95.8,7,90,90,95,95,4.878,3.96,10.0225,9.101,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-01-Soft-and-Hard-Homogenization-Extractions-%23227-254.md,
SITE 6,Reef.42.43,3,P29,Pacuta,20180905,1258,3,ATHC,Ambient,High,TP6,Physiology,11:20,Run 2,20180929,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,1,P2,Pacuta,20180907,1294,3,ATHC,Ambient,High,TP6,Physiology,11:20,Run 2,20180929,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,3,M25,Mcapitata,20180908,1297,3,ATHC,Ambient,High,TP6,Physiology,11:20,Run 2,20180929,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,2,M16,Mcapitata,20180910,1550,3,ATHC,Ambient,High,TP6,Physiology,11:20,Run 2,20180929,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,8,M74,Mcapitata,20180907,1717,11,ATHC,Ambient,High,TP6,Physiology,13:28,Run 4,20180929,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,3,M29,Mcapitata,20180907,1718,11,ATHC,Ambient,High,TP6,Physiology,13:28,Run 4,20180929,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 1,Lilipuna.Fringe,2,M13,Mcapitata,20180908,2528,12,ATHC,Ambient,High,TP6,Physiology,15:40,Run 6,20180929,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,1,M1,Mcapitata,20180910,2740,12,ATHC,Ambient,High,TP6,Physiology,15:40,Run 6,20180929,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,1,P9,Pacuta,20180905,2864,11,ATHC,Ambient,High,TP6,Physiology,13:28,Run 4,20180929,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 2,HIMB,3,P27,Pacuta,20180905,2871,11,ATHC,Ambient,High,TP6,Physiology,13:28,Run 4,20180929,Alive,,In Freezer at URI; shipped 20190118,,,,,,,,,,,,,,,,,,,,,,
SITE 3,Reef.18,5,P41,Pacuta,20180910,2981,12,ATHC,Ambient,High,TP6,Physiology,15:40,Run 6,20180929,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
SITE 4,Reef.11.13,7,P68,Pacuta,20180907,2984,12,ATHC,Ambient,High,TP6,Physiology,15:40,Run 6,20180929,Alive,,In Freezer at URI; not confirmed b/c no email with shipment contents,20190125,,,,,,,,,,,,,,,,,,,,,
