Site,Site.Name,POINT,SITE.ID,Species,COLLECT.DATE,NCBI_Sample_Title,NCBI_Sample_Name,Plug_ID,Tank,Treatment,Temperature,CO2,Timepoint,ANALYSIS,TIME,RUN,Sample.Date,Dead.Alive,NOTES,Sample Location,Shipment Date,Extraction Date,Tech,Notes,Soft DNA ng_ul,Soft RNA ng_ul,Soft RNA RIN,READY FOR RNASEQ,Hard DNA ng_ul,Hard RNA ng_ul,Hard RNA RIN,Hard DNA uL,Soft DNA uL,Hard RNA uL,Soft RNA uL,Soft DNA ug,Hard DNA ug,Soft RNA ug,Hard RNA ug,Sequencing Batch,Link to notebook post,NCBI Link,host_subject_id,Project
SITE 3,Reef.18,6,P59,Pacuta,20180910,1050_ATAC_HoloInt,1050_ATAC,1050,1,ATAC,Ambient,Ambient,1 week,Molecular,13:10,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190809,ES,"341, 342",38.4,85.9,7.6,YES,35.4,59.2,7.2,90,90,95,95,3.456,3.186,8.1605,5.624,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-09-Soft-and-Hard-Homogenization-Extractions-%23333-342.md,NA,HPW218,HoloInt
SITE 2,HIMB,3,P29,Pacuta,20180905,2072_HTAC_HoloInt,2072_HTAC,2072,9,HTAC,High,Ambient,2 week,Molecular,13:10,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190814,MS,"343, 344",41.3,59.5,6.6,YES,20.2,24.6,NA,90,90,95,95,3.717,1.818,5.6525,2.337,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-14-Soft-and-Hard-Homogenization-Extractions-%23343-350.md,NA,HPW146,HoloInt
SITE 5,Reef.35.36,3,M30,Mcapitata,20180906,1317_HTHC_HoloInt,1317_HTHC,1317,5,HTHC,High,High,1 week,Molecular,13:15,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190814,MS,"345, 346",19.15,23.4,7.7,YES,12.15,14.4,NA,90,90,95,95,1.7235,1.0935,2.223,1.368,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-14-Soft-and-Hard-Homogenization-Extractions-%23343-350.md,NA,HPW259,HoloInt
SITE 1,Lilipuna.Fringe,7,P67,Pacuta,20180908,1043_ATAC_HoloInt,1043_ATAC,1043,1,ATAC,Ambient,Ambient,0 hour,Molecular,7:11,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190814,MS,"347, 348",43.8,55.1,8.1,YES,25.9,37.7,NA,90,90,95,95,3.942,2.331,5.2345,3.5815,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-14-Soft-and-Hard-Homogenization-Extractions-%23343-350.md,NA,HPW322,HoloInt
SITE 1,Lilipuna.Fringe,3,P29,Pacuta,20180908,1343_HTHC_HoloInt,1343_HTHC,1343,5,HTHC,High,High,12 hour,Molecular,19:22,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190814,MS,"349, 350",23.8,33.3,8.4,YES,11.7,24.6,NA,90,90,95,95,2.142,1.053,3.1635,2.337,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-14-Soft-and-Hard-Homogenization-Extractions-%23343-350.md,NA,HPW282,HoloInt
SITE 4,Reef.11.13,5,P49,Pacuta,20180907,1486_HTAC_HoloInt,1486_HTAC,1486,7,HTAC,High,Ambient,6 week,Molecular,13:28,NA,20181103,Alive,NA,In Freezer at URI,20181127,20190720,ES,"35, 36",42.9,82.6,7.3,YES,37.2,48.1,7,90,90,90,90,3.861,3.348,7.434,4.329,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-20-Soft-and-Hard-Homogenization-Extractions-%2333-52.md,NA,HPW223,HoloInt
SITE 1,Lilipuna.Fringe,6,P52,Pacuta,20180908,1542_ATAC_HoloInt,1542_ATAC,1542,8,ATAC,Ambient,Ambient,1 week,Molecular,13:09,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190815,MS,"351, 352",37.9,38.3,8.1,YES,15.35,29,NA,90,90,95,95,3.411,1.3815,3.6385,2.755,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-15-Soft-and-Hard-Homogenization-Extractions-%23351-362.md,NA,HPW196,HoloInt
SITE 4,Reef.11.13,7,P62,Pacuta,20180907,1820_HTHC_HoloInt,1820_HTHC,1820,10,HTHC,High,High,2 week,Molecular,13:36,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190815,MS,"353, 354",35.4,46.3,8.3,YES,21.4,23.6,NA,90,90,95,95,3.186,1.926,4.3985,2.242,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-15-Soft-and-Hard-Homogenization-Extractions-%23351-362.md,NA,HPW091,HoloInt
SITE 2,HIMB,2,M13,Mcapitata,20180904,2081_HTHC_HoloInt,2081_HTHC,2081,10,HTHC,High,High,0 hour,Molecular,7:21,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190815,MS,"355, 356",15.7,17.8,8.1,YES,10.4,14.4,NA,90,90,95,95,1.413,0.936,1.691,1.368,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-15-Soft-and-Hard-Homogenization-Extractions-%23351-362.md,NA,HPW295,HoloInt
SITE 4,Reef.11.13,3,P22,Pacuta,20180907,2977_ATHC_HoloInt,2977_ATHC,2977,11,ATHC,Ambient,High,0 hour,Molecular,7:18,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190815,MS,"357, 358",21.2,49.1,8.6,YES,14.75,38.2,NA,90,90,95,95,1.908,1.3275,4.6645,3.629,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-15-Soft-and-Hard-Homogenization-Extractions-%23351-362.md,NA,HPW234,HoloInt
SITE 4,Reef.11.13,2,P11,Pacuta,20180907,1415_HTHC_HoloInt,1415_HTHC,1415,5,HTHC,High,High,30 hour,Molecular,13:23,NA,20180923,Alive,NA,In Freezer at URI,20181210,20190815,MS,"359, 360",53.6,54.9,8.4,YES,36.4,38.4,NA,90,90,95,95,4.824,3.276,5.2155,3.648,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-15-Soft-and-Hard-Homogenization-Extractions-%23351-362.md,NA,HPW085,HoloInt
SITE 2,HIMB,4,M38,Mcapitata,20180904,1101_ATAC_HoloInt,1101_ATAC,1101,1,ATAC,Ambient,Ambient,6 hour,Molecular,13:19,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190823,MS,"363, 364",27.1,30.8,8.3,YES,13.8,19,NA,90,90,95,95,2.439,1.242,2.926,1.805,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-23-Soft-and-Hard-Homogenization-Extractions-%23363-374.md,NA,HPW217,HoloInt
SITE 4,Reef.11.13,2,P18,Pacuta,20180907,1041_ATAC_HoloInt,1041_ATAC,1041,1,ATAC,Ambient,Ambient,6 hour,Molecular,13:18,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190823,MS,"367, 368",62.4,83.8,7.7,YES,44,64.9,NA,90,90,95,95,5.616,3.96,7.961,6.1655,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-23-Soft-and-Hard-Homogenization-Extractions-%23363-374.md,NA,HPW293,HoloInt
SITE 6,Reef.42.43,2,P20,Pacuta,20180905,1159_ATAC_HoloInt,1159_ATAC,1159,1,ATAC,Ambient,Ambient,8 week,Molecular,13:03,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190720,ES,"37, 38",53.1,47,6.9,YES,4.38,45.2,6.5,90,90,90,90,4.779,0.3942,4.23,4.068,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-20-Soft-and-Hard-Homogenization-Extractions-%2333-52.md,NA,HPW125,HoloInt
SITE 1,Lilipuna.Fringe,5,M46,Mcapitata,20180908,1058_ATAC_HoloInt,1058_ATAC,1058,1,ATAC,Ambient,Ambient,2 week,Molecular,13:45,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190823,MS,"371, 372",30.7,29.8,8.8,YES,14.95,20,NA,90,90,95,95,2.763,1.3455,2.831,1.9,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-23-Soft-and-Hard-Homogenization-Extractions-%23363-374.md,NA,HPW072,HoloInt
SITE 6,Reef.42.43,5,P43,Pacuta,20180905,1767_HTAC_HoloInt,1767_HTAC,1767,7,HTAC,High,Ambient,12 hour,Molecular,19:15,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190823,MS,"373, 374",110,130,7.3,YES,52.1,74.6,NA,90,90,95,95,9.9,4.689,12.35,7.087,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-23-Soft-and-Hard-Homogenization-Extractions-%23363-374.md,NA,HPW245,HoloInt
SITE 4,Reef.11.13,8,P73,Pacuta,20180907,1445_ATAC_HoloInt,1445_ATAC,1445,6,ATAC,Ambient,Ambient,2 week,Molecular,13:21,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190826,ES,"375, 376",41.4,83.3,7.5,YES,26.1,58.3,NA,90,90,95,95,3.726,2.349,7.9135,5.5385,Batch3,NA,NA,HPW134,HoloInt
SITE 3,Reef.18,5,M44,Mcapitata,20180910,2419_HTHC_HoloInt,2419_HTHC,2419,10,HTHC,High,High,2 week,Molecular,13:37,NA,20181006,Alive,NA,In Freezer at HIMB,TBD,20190826,ES,"377, 378",25.9,38.9,8.2,YES,15.15,17.2,NA,90,90,95,95,2.331,1.3635,3.6955,1.634,Batch3,NA,NA,HPW164,HoloInt
SITE 3,Reef.18,7,M67,Mcapitata,20180910,2402_ATAC_HoloInt,2402_ATAC,2402,8,ATAC,Ambient,Ambient,1 week,Molecular,13:08,NA,20180929,Alive,NA,In Freezer at URI,20181219,20190826,ES,379. 380,27.9,32.3,8.9,YES,18.7,14,NA,90,90,95,95,2.511,1.683,3.0685,1.33,Batch3,NA,NA,HPW266,HoloInt
SITE 2,HIMB,4,P40,Pacuta,20180905,1653_HTAC_HoloInt,1653_HTAC,1653,7,HTAC,High,Ambient,0 hour,Molecular,7:08,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190826,ES,"381, 382",44.8,114,6.2,YES,31.9,68,NA,90,90,95,95,4.032,2.871,10.83,6.46,Batch3,NA,NA,HPW309,HoloInt
SITE 1,Lilipuna.Fringe,5,M47,Mcapitata,20180908,1579_HTAC_HoloInt,1579_HTAC,1579,7,HTAC,High,Ambient,0 hour,Molecular,7:09,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190826,ES,"383, 384",28.5,26.7,8.5,YES,16.45,16.1,NA,90,90,95,95,2.565,1.4805,2.5365,1.5295,Batch3,NA,NA,HPW318,HoloInt
SITE 6,Reef.42.43,6,P54,Pacuta,20180905,2002_ATAC_HoloInt,2002_ATAC,2002,8,ATAC,Ambient,Ambient,12 hour,Molecular,19:13,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190826,ES,"385, 386",48.2,80.5,7.1,YES,26.5,53.7,NA,90,90,95,95,4.338,2.385,7.6475,5.1015,Batch3,NA,NA,HPW307,HoloInt
SITE 6,Reef.42.43,2,P16,Pacuta,20180905,2210_HTHC_HoloInt,2210_HTHC,2210,10,HTHC,High,High,0 hour,Molecular,7:20,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190826,ES,"387, 388",29.4,70.4,7.8,YES,21.4,50.6,NA,90,90,95,95,2.646,1.926,6.688,4.807,Batch3,NA,NA,HPW263,HoloInt
SITE 2,HIMB,7,P65,Pacuta,20180905,1641_ATAC_HoloInt,1641_ATAC,1641,6,ATAC,Ambient,Ambient,8 week,Molecular,13:23,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190720,ES,"39, 40",34.5,46.4,7.4,YES,26.9,26.6,6.8,90,90,90,90,3.105,2.421,4.176,2.394,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-20-Soft-and-Hard-Homogenization-Extractions-%2333-52.md,NA,HPW067,HoloInt
SITE 2,HIMB,3,M21,Mcapitata,20180904,1145_HTHC_HoloInt,1145_HTHC,1145,2,HTHC,High,High,0 hour,Molecular,7:05,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190826,ES,"391, 392",24.9,31.6,8.3,YES,14.7,25.6,NA,90,90,95,95,2.241,1.323,3.002,2.432,Batch3,NA,NA,HPW271,HoloInt
SITE 4,Reef.11.13,7,P63,Pacuta,20180907,1207_ATHC_HoloInt,1207_ATHC,1207,3,ATHC,Ambient,High,0 hour,Molecular,7:07,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190826,ES,"393, 394",84.8,113.5,8.1,YES,35.9,44.6,NA,90,90,95,95,7.632,3.231,10.7825,4.237,Batch3,NA,NA,HPW202,HoloInt
SITE 2,HIMB,2,M14,Mcapitata,20180904,1652_ATAC_HoloInt,1652_ATAC,1652,8,ATAC,Ambient,Ambient,0 hour,Molecular,7:14,NA,20180922,Alive,combined E1/E2 Hard DNA 396; written as molecular 9:27 11 20181215 but physical bag says 20180922,In Freezer at URI,20181002,20190826,ES,"395, 396",23.4,29.6,9.1,YES,11.85,18.8,NA,90,90,95,95,2.106,1.0665,2.812,1.786,Batch3,NA,NA,HPW239,HoloInt
SITE 4,Reef.11.13,7,M63,Mcapitata,20180907,1218_ATHC_HoloInt,1218_ATHC,1218,3,ATHC,Ambient,High,0 hour,Molecular,7:07,NA,20180922,Alive,NA,In Freezer at URI,20181002,20190826,ES,"397, 398",19.55,30.6,9.1,YES,13.4,15.3,NA,90,90,95,95,1.7595,1.206,2.907,1.4535,Batch3,NA,NA,HPW267,HoloInt
SITE 5,Reef.35.36,4,M35,Mcapitata,20180906,1037_ATAC_HoloInt,1037_ATAC,1037,1,ATAC,Ambient,Ambient,0 hour,Molecular,7:11,NA,20180922,Alive,combined E1/E2 Hard DNA 402,In Freezer at URI,20181002,20190826,ES,"401, 402",18.9,14.4,8.3,YES,10.15,11,NA,90,90,95,95,1.701,0.9135,1.368,1.045,Batch3,NA,NA,HPW290,HoloInt
SITE 3,Reef.18,5,P45,Pacuta,20180910,1701_HTAC_HoloInt,1701_HTAC,1701,4,HTAC,High,Ambient,12 hour,Molecular,19:18,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190826,ES,"403, 404",107,109.5,8.7,YES,34.2,77,NA,90,90,95,95,9.63,3.078,10.4025,7.315,Batch3,NA,NA,HPW244,HoloInt
SITE 1,Lilipuna.Fringe,7,P61,Pacuta,20180908,1581_HTAC_HoloInt,1581_HTAC,1581,9,HTAC,High,Ambient,12 hour,Molecular,19:26,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190826,ES,"405, 406",43.2,70.8,8.8,YES,37.2,52.2,NA,90,90,95,95,3.888,3.348,6.726,4.959,Batch3,NA,NA,HPW254,HoloInt
SITE 4,Reef.11.13,5,M41,Mcapitata,20180907,1328_HTHC_HoloInt,1328_HTHC,1328,5,HTHC,High,High,12 hour,Molecular,19:23,NA,20180922,Alive,NA,In Freezer at URI,20181210,20190826,ES,"407, 408",23.5,27.1,9.1,YES,13.7,19.8,NA,90,90,95,95,2.115,1.233,2.5745,1.881,Batch3,NA,NA,HPW255,HoloInt
SITE 4,Reef.11.13,5,M46,Mcapitata,20180907,1706_ATHC_HoloInt,1706_ATHC,1706,11,ATHC,Ambient,High,30 hour,Molecular,13:14,NA,20180923,Alive,combined E1/E2 hard DNA 410,In Freezer at URI,20181210,20190826,ES,"409, 410",12,14.4,8.8,YES,10.45,12.2,NA,90,90,95,95,1.08,0.9405,1.368,1.159,Batch3,NA,NA,HPW181,HoloInt
SITE 3,Reef.18,6,M57,Mcapitata,20180910,2554_ATHC_HoloInt,2554_ATHC,2554,12,ATHC,Ambient,High,8 week,Molecular,13:44,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190720,ES,"41, 42",58.3,27.6,9.1,YES,31.2,23,8.6,90,90,90,90,5.247,2.808,2.484,2.07,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-20-Soft-and-Hard-Homogenization-Extractions-%2333-52.md,NA,HPW172,HoloInt
SITE 4,Reef.11.13,7,P70,Pacuta,20180907,1059_ATAC_HoloInt,1059_ATAC,1059,1,ATAC,Ambient,Ambient,30 hour,Molecular,13:04,NA,20180923,Alive,NA,In Freezer at URI,20181210,20190826,ES,"413, 414",27,73.2,9.2,YES,25.2,48,NA,90,90,95,95,2.43,2.268,6.954,4.56,Batch3,NA,NA,HPW080,HoloInt
SITE 2,HIMB,4,P33,Pacuta,20180905,2087_HTHC_HoloInt,2087_HTHC,2087,10,HTHC,High,High,30 hour,Molecular,13:20,NA,20180923,Alive,NA,In Freezer at URI,20181210,20190826,ES,"415, 416",50.5,80.6,8.9,YES,35.3,70.8,NA,90,90,95,95,4.545,3.177,7.657,6.726,Batch3,NA,NA,HPW180,HoloInt
SITE 5,Reef.35.36,1,P2,Pacuta,20180906,1594_ATAC_HoloInt,1594_ATAC,1594,8,ATAC,Ambient,Ambient,6 week,Molecular,13:26,NA,20181103,Alive,NA,In Freezer at URI,20181127,20190720,ES,"43, 44",28.1,29.4,7.6,YES,16.1,25.8,7.8,90,90,90,90,2.529,1.449,2.646,2.322,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-20-Soft-and-Hard-Homogenization-Extractions-%2333-52.md,NA,HPW284,HoloInt
SITE 4,Reef.11.13,2,M15,Mcapitata,20180907,1548_ATAC_HoloInt,1548_ATAC,1548,8,ATAC,Ambient,Ambient,6 hour,Molecular,13:21,NA,20180922,Alive,"extracted 20190823, 20190903, 20190904",In Freezer at URI,20181210,20190904,ES,"437, 438",23.1,24.2,8,YES,16.9,19.8,NA,90,90,95,95,2.079,1.521,2.299,1.881,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-08-23-Soft-and-Hard-Homogenization-Extractions-%23363-374.md,NA,HPW312,HoloInt
SITE 1,Lilipuna.Fringe,2,M17,Mcapitata,20180908,1449_HTHC_HoloInt,1449_HTHC,1449,5,HTHC,High,High,30 hour,Molecular,13:23,NA,20180923,Alive,"extracted 20190903, 20190905",In Freezer at URI,20181210,20190905,ES,"441, 442",27.1,59.6,8.7,YES,22.2,26.8,NA,90,90,95,95,2.439,1.998,5.662,2.546,Batch3,NA,NA,HPW136,HoloInt
SITE 2,HIMB,3,P30,Pacuta,20180905,1642_HTAC_HoloInt,1642_HTAC,1642,7,HTAC,High,Ambient,6 hour,Molecular,13:45,NA,20180922,Alive,"extracted 20190903, 20190905",In Freezer at URI,20181210,20190903,ES,"443, 444",70,80.2,7.5,YES,37.3,40.1,NA,90,90,95,95,6.3,3.357,7.619,3.8095,Batch3,NA,NA,HPW212,HoloInt
SITE 4,Reef.11.13,7,P66,Pacuta,20180907,1707_HTAC_HoloInt,1707_HTAC,1707,9,HTAC,High,Ambient,30 hour,Molecular,13:07,NA,20180923,Alive,"extracted 20190903, 20190905",In Freezer at URI,20181210,20190905,ES,"445, 446",96.6,77.5,8.5,YES,35.4,42.3,NA,90,90,95,95,8.694,3.186,7.3625,4.0185,Batch3,NA,NA,HPW106,HoloInt
SITE 1,Lilipuna.Fringe,3,P21,Pacuta,20180908,1563_ATAC_HoloInt,1563_ATAC,1563,8,ATAC,Ambient,Ambient,30 hour,Molecular,13:10,NA,20180923,Alive,"extracted 20190903, 20190905",In Freezer at URI,20181210,20190905,ES,"447, 448",42.3,39.8,8.7,YES,24,33.2,NA,90,90,95,95,3.807,2.16,3.781,3.154,Batch3,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-31-Soft-and-Hard-Homogenization-Extractions-%23179-226.md,NA,HPW075,HoloInt
SITE 5,Reef.35.36,2,P15,Pacuta,20180906,2212_ATHC_HoloInt,2212_ATHC,2212,11,ATHC,Ambient,High,30 hour,Molecular,13:15,NA,20180923,Alive,"extracted 20190903, 20190905",In Freezer at URI,20181210,20190903,ES,"449, 450",34.2,53.9,8.1,YES,19.3,43.6,NA,90,90,95,95,3.078,1.737,5.1205,4.142,Batch3,NA,NA,HPW162,HoloInt
SITE 5,Reef.35.36,6,P51,Pacuta,20180906,1205_ATHC_HoloInt,1205_ATHC,1205,3,ATHC,Ambient,High,8 week,Molecular,13:11,NA,20181117,Alive,NA,In Freezer at URI,20181127,20190720,ES,"45, 46",34.6,59.4,7.3,YES,27.3,45.4,7,90,90,90,90,3.114,2.457,5.346,4.086,Batch2,https://github.com/emmastrand/EmmaStrand_Notebook/blob/master/_posts/2019-07-20-Soft-and-Hard-Homogenization-Extractions-%2333-52.md,NA,HPW069,HoloInt
SITE 4,Reef.11.13,7,M70,Mcapitata,20180907,1694_HTHC_HoloInt,1694_HTHC,1694,10,HTHC,High,High,30 hour,Molecular,13:22,NA,20180923,Alive,"extracted 20190903, 20190905",In Freezer at URI,20181210,20190905,ES,"451, 452",19.2,25.1,9,YES,14.55,16.6,NA,90,90,95,95,1.728,1.3095,2.3845,1.577,Batch3,NA,NA,HPW063,HoloInt
SITE 2,HIMB,3,M28,Mcapitata,20180904,1997_HTAC_HoloInt,1997_HTAC,1997,9,HTAC,High,Ambient,30 hour,Molecular,13:07,NA,20180923,Alive,"extracted 20190903, 20190905",In Freezer at URI,20181210,20190905,ES,"453, 454",23.2,14.2,9.1,YES,11.2,10.2,NA,90,90,95,95,2.088,1.008,1.349,0.969,Batch3,NA,NA,HPW166,HoloInt
SITE 6,Reef.42.43,6,P56,Pacuta,20180905,2750_ATHC_HoloInt,2750_ATHC,2750,12,ATHC,Ambient,High,6 hour,Molecular,13:11,NA,20180922,Alive,"extracted 20190903, 20190905",In Freezer at URI,20181210,20190905,ES,"455, 456",60.6,85.4,8.6,YES,45.8,45.1,NA,90,90,95,95,5.454,4.122,8.113,4.2845,Batch3,NA,NA,HPW187,HoloInt
SITE 5,Reef.35.36,2,P17,Pacuta,20180906,1281_ATHC_HoloInt,1281_ATHC,1281,3,ATHC,Ambient,High,2 week,Physiology/Molecular,11:49,Run 2,20181006,Alive,was initially a physiological fragment; used to replace molecular,In Transit to URI 20190207,NA,20190924,ES,"457, 458",34.1,64.4,8.4,YES,16.7,39.4,NA,90,90,95,95,3.069,1.503,6.118,3.743,Batch3,NA,NA,HPW118,HoloInt
SITE 2,HIMB,7,M61,Mcapitata,20180904,1651_ATAC_HoloInt,1651_ATAC,1651,8,ATAC,Ambient,Ambient,12 hour,Molecular,19:14,NA,20180922,Alive,"fell out of whirlpak, still used",In Freezer at URI,20181210,20190924,ES,"459, 460",24.5,56.7,9.1,YES,27,31.3,NA,90,90,95,95,2.205,2.43,5.3865,2.9735,Batch3,NA,NA,HPW189,HoloInt
SITE 3,Reef.18,2,P20,Pacuta,20180910,2306_ATAC_HoloInt,2306_ATAC,2306,6,ATAC,Ambient,Ambient,12 week,Molecular,11:26,NA,20181215,Alive,In Tank 6 20181118,In Transit to URI,20190206,20190926,ES,"465, 466",73.1,77.2,8.4,YES,53.8,46.4,7.8,90,90,95,95,6.579,4.842,7.334,4.408,Batch3,NA,NA,HPW096,HoloInt
SITE 4,Reef.11.13,1,M6,Mcapitata,20180907,1562_HTAC_HoloInt,1562_HTAC,1562,9,HTAC,High,Ambient,12 week,Molecular,9:59,NA,20181215,Alive,In Tank 9 20181118,In Transit to URI,20190206,20190926,ES,"467, 468",29.4,34.3,8.3,YES,18.35,20,8.6,90,90,95,95,2.646,1.6515,3.2585,1.9,Batch3,NA,NA,HPW154,HoloInt
SITE 2,HIMB,4,P35,Pacuta,20180905,1647_HTAC_HoloInt,1647_HTAC,1647,7,HTAC,High,Ambient,12 week,Molecular,10:14,NA,20181215,Alive,In Tank 7 20181118,In Transit to URI,20190206,20190926,ES,"469, 470",98.1,96.8,7.6,YES,59.3,57.4,7.5,90,90,95,95,8.829,5.337,9.196,5.453,Batch3,NA,NA,HPW071,HoloInt
SITE 5,Reef.35.36,2,M13,Mcapitata,20180906,1237_ATHC_HoloInt,1237_ATHC,1237,3,ATHC,Ambient,High,12 week,Molecular,9:51,NA,20181215,Alive,In Tank 3 20181118,In Transit to URI,20190206,20190926,ES,"471, 472",31.9,32.2,8.4,YES,17.5,18.4,8.3,90,90,95,95,2.871,1.575,3.059,1.748,Batch3,NA,NA,HPW151,HoloInt
SITE 1,Lilipuna.Fringe,7,P70,Pacuta,20180908,1582_HTAC_HoloInt,1582_HTAC,1582,9,HTAC,High,Ambient,12 week,Molecular,9:57,NA,20181215,Alive,In Tank 9 20181118; off plug,In Transit to URI,20190206,20190926,ES,"473, 474",34.7,78.7,8.9,YES,20.9,47.6,8.9,90,90,95,95,3.123,1.881,7.4765,4.522,Batch3,NA,NA,HPW082,HoloInt
SITE 1,Lilipuna.Fringe,4,M39,Mcapitata,20180908,1178_HTHC_HoloInt,1178_HTHC,1178,2,HTHC,High,High,12 week,Molecular,9:44,NA,20181215,Alive,In Tank 2 20181118,In Transit to URI,20190206,20190930,ES,"477, 478",14.05,24.6,8.7,YES,12.25,18.8,7.6,90,90,95,95,1.2645,1.1025,2.337,1.786,Batch3,NA,NA,HPW138,HoloInt
SITE 5,Reef.35.36,3,M26,Mcapitata,20180906,1076_ATAC_HoloInt,1076_ATAC,1076,1,ATAC,Ambient,Ambient,12 week,Molecular,9:31,NA,20181215,Alive,In Tank 1 20181118,In Transit to URI,20190206,20190930,ES,"479, 480",20,22.2,7.6,YES,16.35,17.2,**,90,90,95,95,1.8,1.4715,2.109,1.634,Batch3,NA,NA,HPW094,HoloInt
SITE 2,HIMB,5,P43,Pacuta,20180905,1777_ATAC_HoloInt,1777_ATAC,1777,8,ATAC,Ambient,Ambient,12 week,Molecular,10:04,NA,20181215,Alive,In Tank 8 20181118,In Transit to URI,20190206,20190930,ES,"481, 482",55.9,65.8,7.8,YES,39.2,32.5,7.3,90,90,95,95,5.031,3.528,6.251,3.0875,Batch3,NA,NA,HPW148,HoloInt
SITE 2,HIMB,5,P46,Pacuta,20180905,2879_ATHC_HoloInt,2879_ATHC,2879,12,ATHC,Ambient,High,12 week,Molecular,11:08,NA,20181215,Alive,In Tank 12 20181118,In Transit to URI,20190206,20190930,ES,"483, 484",34.1,94.1,8.4,YES,33.5,57.5,8.1,90,90,95,95,3.069,3.015,8.9395,5.4625,Batch3,NA,NA,HPW087,HoloInt
SITE 5,Reef.35.36,2,M15,Mcapitata,20180906,2188_ATHC_HoloInt,2188_ATHC,2188,11,ATHC,Ambient,High,12 week,Molecular,10:58,NA,20181215,Alive,recombined E1/E2 hard DNA 488; In Tank 11 20181118,In Transit to URI,20190206,20191001,ES,"487, 488",17.6,13.4,9.2,YES,13.4,10.2,NA,90,90,95,95,1.584,1.206,1.273,0.969,Batch3,NA,NA,HPW119,HoloInt
SITE 1,Lilipuna.Fringe,6,P55,Pacuta,20180908,2668_ATHC_HoloInt,2668_ATHC,2668,11,ATHC,Ambient,High,12 week,Molecular,10:52,NA,20181215,Alive,In Tank 11 20181118,In Transit to URI,20190206,20191001,ES,"489, 490",28.3,90.6,9,YES,31.1,52.5,NA,90,90,95,95,2.547,2.799,8.607,4.9875,Batch3,NA,NA,HPW142,HoloInt
